exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460378,30
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460379,31
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460380,32
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460381,33
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460382,34
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460383,35
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p2,accepted,,820116,820118460384,36
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460385,37
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460386,38
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460387,39
