exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p1,accepted,,831094,831096493312,30
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493313,31
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p2,accepted,,831094,831096493314,32
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493315,33
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p1,accepted,,831094,831096493316,34
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493317,35
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p2,accepted,,831094,831096493318,36
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p2,accepted,,831094,831096493319,37
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p1,accepted,,831094,831096493320,38
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493321,39
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:97,true,p1,accepted,,831097,831099493291,0
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:97,tf:100,false,p2,accepted,,831097,831099493292,1
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:97,true,p2,accepted,,831097,831099493293,2
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:97,tf:100,false,p2,accepted,,831097,831099493294,3
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:97,true,p1,accepted,,831097,831099493295,4
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:97,tf:100,false,p1,accepted,,831097,831099493296,5
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:97,true,p1,accepted,,831097,831099493297,6
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:97,tf:100,false,p1,accepted,,831097,831099493298,7
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:97,true,p2,accepted,,831097,831099493299,8
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:97,tf:100,false,p2,accepted,,831097,831099493300,9
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:97,true,p1,accepted,,831097,831099493301,10
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:97,tf:100,false,p1,accepted,,831097,831099493302,11
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:97,true,p1,accepted,,831097,831099493303,12
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:97,tf:100,false,p2,accepted,,831097,831099493304,13
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g97.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:97,true,p2,accepted,,831097,831099493305,14
